Model,2023,2024,2025,2026,2027,2028,2029,2030,Roční_nájezd
Skoda Scala TSI,7110.0,8220.0,9330.0,10440.0,11550.0,12660.0,13770.0,14880.0,10000
Skoda Scala TDI,7260.0,8520.0,9780.0,11040.0,12300.0,13560.0,14820.0,16080.0,10000
Hyundai Kona,16675.6,17326.16,17939.88,18505.96,19014.86,19458.42,19829.97,20124.31,10000
Skoda Scala TSI,7665.0,9330.0,10995.0,12660.0,14325.0,15990.0,17655.0,19320.0,15000
Skoda Scala TDI,7890.0,9780.0,11670.0,13560.0,15450.0,17340.0,19230.0,21120.0,15000
Hyundai Kona,17013.41,17989.24,18909.81,19758.94,20522.3,21187.63,21744.95,22186.47,15000
Skoda Scala TSI,8220.0,10440.0,12660.0,14880.0,17100.0,19320.0,21540.0,23760.0,20000
Skoda Scala TDI,8520.0,11040.0,13560.0,16080.0,18600.0,21120.0,23640.0,26160.0,20000
Hyundai Kona,17351.21,18652.32,19879.75,21011.92,22029.73,22916.85,23659.93,24248.63,20000
Skoda Scala TSI,8775.0,11550.0,14325.0,17100.0,19875.0,22650.0,25425.0,28200.0,25000
Skoda Scala TDI,9150.0,12300.0,15450.0,18600.0,21750.0,24900.0,28050.0,31200.0,25000
Hyundai Kona,17689.01,19315.4,20849.69,22264.91,23537.16,24646.06,25574.92,26310.79,25000
Skoda Scala TSI,9330.0,12660.0,15990.0,19320.0,22650.0,25980.0,29310.0,32640.0,30000
Skoda Scala TDI,9780.0,13560.0,17340.0,21120.0,24900.0,28680.0,32460.0,36240.0,30000
Hyundai Kona,18026.81,19978.48,21819.63,23517.89,25044.59,26375.27,27489.9,28372.94,30000
