Model,Roční_nájezd,Rok,Emise_CO2
Skoda Scala TSI,10000,2023,7110.0
Skoda Scala TDI,10000,2023,7260.0
Hyundai Kona,10000,2023,16681.07
Skoda Scala TSI,15000,2023,7665.0
Skoda Scala TDI,15000,2023,7890.0
Hyundai Kona,15000,2023,17021.61
Skoda Scala TSI,20000,2023,8220.0
Skoda Scala TDI,20000,2023,8520.0
Hyundai Kona,20000,2023,17362.14
Skoda Scala TSI,25000,2023,8775.0
Skoda Scala TDI,25000,2023,9150.0
Hyundai Kona,25000,2023,17702.68
Skoda Scala TSI,30000,2023,9330.0
Skoda Scala TDI,30000,2023,9780.0
Hyundai Kona,30000,2023,18043.21
Skoda Scala TSI,10000,2024,8220.0
Skoda Scala TDI,10000,2024,8520.0
Hyundai Kona,10000,2024,17348.72
Skoda Scala TSI,15000,2024,9330.0
Skoda Scala TDI,15000,2024,9780.0
Hyundai Kona,15000,2024,18023.09
Skoda Scala TSI,20000,2024,10440.0
Skoda Scala TDI,20000,2024,11040.0
Hyundai Kona,20000,2024,18697.45
Skoda Scala TSI,25000,2024,11550.0
Skoda Scala TDI,25000,2024,12300.0
Hyundai Kona,25000,2024,19371.81
Skoda Scala TSI,30000,2024,12660.0
Skoda Scala TDI,30000,2024,13560.0
Hyundai Kona,30000,2024,20046.17
Skoda Scala TSI,10000,2025,9330.0
Skoda Scala TDI,10000,2025,9780.0
Hyundai Kona,10000,2025,17996.83
Skoda Scala TSI,15000,2025,10995.0
Skoda Scala TDI,15000,2025,11670.0
Hyundai Kona,15000,2025,18995.25
Skoda Scala TSI,20000,2025,12660.0
Skoda Scala TDI,20000,2025,13560.0
Hyundai Kona,20000,2025,19993.67
Skoda Scala TSI,25000,2025,14325.0
Skoda Scala TDI,25000,2025,15450.0
Hyundai Kona,25000,2025,20992.08
Skoda Scala TSI,30000,2025,15990.0
Skoda Scala TDI,30000,2025,17340.0
Hyundai Kona,30000,2025,21990.5
Skoda Scala TSI,10000,2026,10440.0
Skoda Scala TDI,10000,2026,11040.0
Hyundai Kona,10000,2026,18619.56
Skoda Scala TSI,15000,2026,12660.0
Skoda Scala TDI,15000,2026,13560.0
Hyundai Kona,15000,2026,19929.33
Skoda Scala TSI,20000,2026,14880.0
Skoda Scala TDI,20000,2026,16080.0
Hyundai Kona,20000,2026,21239.11
Skoda Scala TSI,25000,2026,17100.0
Skoda Scala TDI,25000,2026,18600.0
Hyundai Kona,25000,2026,22548.89
Skoda Scala TSI,30000,2026,19320.0
Skoda Scala TDI,30000,2026,21120.0
Hyundai Kona,30000,2026,23858.67
Skoda Scala TSI,10000,2027,11550.0
Skoda Scala TDI,10000,2027,12300.0
Hyundai Kona,10000,2027,19211.41
Skoda Scala TSI,15000,2027,14325.0
Skoda Scala TDI,15000,2027,15450.0
Hyundai Kona,15000,2027,20817.11
Skoda Scala TSI,20000,2027,17100.0
Skoda Scala TDI,20000,2027,18600.0
Hyundai Kona,20000,2027,22422.82
Skoda Scala TSI,25000,2027,19875.0
Skoda Scala TDI,25000,2027,21750.0
Hyundai Kona,25000,2027,24028.52
Skoda Scala TSI,30000,2027,22650.0
Skoda Scala TDI,30000,2027,24900.0
Hyundai Kona,30000,2027,25634.23
Skoda Scala TSI,10000,2028,12660.0
Skoda Scala TDI,10000,2028,13560.0
Hyundai Kona,10000,2028,19767.34
Skoda Scala TSI,15000,2028,15990.0
Skoda Scala TDI,15000,2028,17340.0
Hyundai Kona,15000,2028,21651.0
Skoda Scala TSI,20000,2028,19320.0
Skoda Scala TDI,20000,2028,21120.0
Hyundai Kona,20000,2028,23534.67
Skoda Scala TSI,25000,2028,22650.0
Skoda Scala TDI,25000,2028,24900.0
Hyundai Kona,25000,2028,25418.34
Skoda Scala TSI,30000,2028,25980.0
Skoda Scala TDI,30000,2028,28680.0
Hyundai Kona,30000,2028,27302.01
Skoda Scala TSI,10000,2029,13770.0
Skoda Scala TDI,10000,2029,14820.0
Hyundai Kona,10000,2029,20282.75
Skoda Scala TSI,15000,2029,17655.0
Skoda Scala TDI,15000,2029,19230.0
Hyundai Kona,15000,2029,22424.13
Skoda Scala TSI,20000,2029,21540.0
Skoda Scala TDI,20000,2029,23640.0
Hyundai Kona,20000,2029,24565.51
Skoda Scala TSI,25000,2029,25425.0
Skoda Scala TDI,25000,2029,28050.0
Hyundai Kona,25000,2029,26706.89
Skoda Scala TSI,30000,2029,29310.0
Skoda Scala TDI,30000,2029,32460.0
Hyundai Kona,30000,2029,28848.26
Skoda Scala TSI,10000,2030,14880.0
Skoda Scala TDI,10000,2030,16080.0
Hyundai Kona,10000,2030,20753.6
Skoda Scala TSI,15000,2030,19320.0
Skoda Scala TDI,15000,2030,21120.0
Hyundai Kona,15000,2030,23130.4
Skoda Scala TSI,20000,2030,23760.0
Skoda Scala TDI,20000,2030,26160.0
Hyundai Kona,20000,2030,25507.21
Skoda Scala TSI,25000,2030,28200.0
Skoda Scala TDI,25000,2030,31200.0
Hyundai Kona,25000,2030,27884.01
Skoda Scala TSI,30000,2030,32640.0
Skoda Scala TDI,30000,2030,36240.0
Hyundai Kona,30000,2030,30260.81
