Rok,Typ,Výkon(MW),Počet zdrojů(ks)
2013,Fotovoltaické elektrárny,55.0,6093
2014,Fotovoltaické elektrárny,2.8,125
2015,Fotovoltaické elektrárny,1.3,111
2016,Fotovoltaické elektrárny,1.1,63
2017,Fotovoltaické elektrárny,3.8,44
2018,Fotovoltaické elektrárny,1.8,62
2019,Fotovoltaické elektrárny,8.8,104
2020,Fotovoltaické elektrárny,15.8,207
2021,Fotovoltaické elektrárny,13.1,152
2022,Fotovoltaické elektrárny,31.3,326
2013,Větrné elektrárny,8.9,7
2014,Větrné elektrárny,14.1,9
2017,Větrné elektrárny,26.1,14
2018,Větrné elektrárny,8.8,4
2019,Větrné elektrárny,22.5,10
2013,Biomasa - spalování v procesu S,P,135.7,2
2015,Biomasa - spalování v procesu S,P,26.0,1
2013,Biomasa - spalování čisté biomasy,48.8,15
2015,Biomasa - spalování čisté biomasy,0.1,1
2019,Biomasa - spalování čisté biomasy,74.8,1
2021,Biomasa - spalování čisté biomasy,1.0,1
2013,Bioplynové stanice,43.8,115
2015,Bioplynové stanice,0.2,1
2016,Bioplynové stanice,0.7,4
2017,Bioplynové stanice,0.1,1
2013,Degazační plyn,2.8,2
2014,Degazační plyn,0.4,1
2013,Důlní plyn,0.0,0
2020,Důlní plyn,2.0,2
2013,Skládkový a kalový plyn,2.3,16
2014,Skládkový a kalový plyn,0.4,2
2015,Skládkový a kalový plyn,0.1,1
2016,Skládkový a kalový plyn,0.3,3
2017,Skládkový a kalový plyn,0.1,1
2018,Skládkový a kalový plyn,0.2,3
2020,Skládkový a kalový plyn,0.1,1
2021,Skládkový a kalový plyn,0.1,1
2022,Skládkový a kalový plyn,0.2,1
