Model,2023,2024,2025,2026,2027,2028,2029,2030,Roční_nájezd
Skoda Scala TSI,7110.0,8220.0,9330.0,10440.0,11550.0,12660.0,13770.0,14880.0,10000
Skoda Scala TDI,7260.0,8520.0,9780.0,11040.0,12300.0,13560.0,14820.0,16080.0,10000
Hyundai Kona,16681.07,17348.72,17996.83,18619.56,19211.41,19767.34,20282.75,20753.6,10000
Skoda Scala TSI,7665.0,9330.0,10995.0,12660.0,14325.0,15990.0,17655.0,19320.0,15000
Skoda Scala TDI,7890.0,9780.0,11670.0,13560.0,15450.0,17340.0,19230.0,21120.0,15000
Hyundai Kona,17021.61,18023.09,18995.25,19929.33,20817.11,21651.0,22424.13,23130.4,15000
Skoda Scala TSI,8220.0,10440.0,12660.0,14880.0,17100.0,19320.0,21540.0,23760.0,20000
Skoda Scala TDI,8520.0,11040.0,13560.0,16080.0,18600.0,21120.0,23640.0,26160.0,20000
Hyundai Kona,17362.14,18697.45,19993.67,21239.11,22422.82,23534.67,24565.51,25507.21,20000
Skoda Scala TSI,8775.0,11550.0,14325.0,17100.0,19875.0,22650.0,25425.0,28200.0,25000
Skoda Scala TDI,9150.0,12300.0,15450.0,18600.0,21750.0,24900.0,28050.0,31200.0,25000
Hyundai Kona,17702.68,19371.81,20992.08,22548.89,24028.52,25418.34,26706.89,27884.01,25000
Skoda Scala TSI,9330.0,12660.0,15990.0,19320.0,22650.0,25980.0,29310.0,32640.0,30000
Skoda Scala TDI,9780.0,13560.0,17340.0,21120.0,24900.0,28680.0,32460.0,36240.0,30000
Hyundai Kona,18043.21,20046.17,21990.5,23858.67,25634.23,27302.01,28848.26,30260.81,30000
